Isim,Soyisim,Yetenekler,Egitim,Deneyim,Email,Telefon,LinkedIn,Github,DogumTarihi,Adres
Servinaz,Zengin,"React, ASP.NET, MongoDB, Kubernetes",Zengin Tarhan Ltd. Üniversitesi - Haritacı (2019-2023),Bilgin Şti. - Hattat (2020-2023),bariscanyorulmaz@sisecam.com,0703 152 25 24,https://linkedin.com/in/servinazzengin,https://github.com/servinazzengin,1997-12-26,"729 Durgadin Point Suite 595, East Oranlı, NH 63458"
Züheyla,Kısakürek,"SQL, CSS, Python, Python, Next.js, JavaScript",Zengin A.Ş. Üniversitesi - Galerici (2015-2024),Yıldırım Ltd. - Yazar (2018-2023),selaheddinyorulmaz@gmail.com,0773-892 1656,https://linkedin.com/in/züheylakısakürek,https://github.com/züheylakısakürek,1991-06-07,"4473 Şadıman Village, Şensoyton, OK 74481"
Neptün,Duran,"Django, Node.js, ASP.NET, Flutter, Next.js, C#",Eraslan Yılmaz A.Ş. Üniversitesi - Denetçi (2016-2025),İnönü Ltd. - Kuyumcu (2022-2025),gulennesip@arslan.com,+90(573)3670153,https://linkedin.com/in/neptünduran,https://github.com/neptünduran,1990-11-21,"Unit 5684 Box 6039, DPO AP 74334"
Selçuk,Gülen,"ASP.NET, Flask, Java, Java",Kısakürek A.Ş. Üniversitesi - Topçu (2017-2023),Turkcell - Başbakan (2021-2025),emiskoruturk@tevetoglu.com,0257-965 2212,https://linkedin.com/in/selçukgülen,https://github.com/selçukgülen,1987-09-18,"751 Çorlu Trafficway, West Ebuakil, LA 31209"
Mücellib,Sezgin,"Next.js, Linux, MongoDB, JavaScript, Linux, React",Opet Üniversitesi - Komiser (2018-2023),Öcalan A.Ş. - Şekerci (2022-2023),acetin@eraslan.com,05388584519,https://linkedin.com/in/mücellibsezgin,https://github.com/mücellibsezgin,1988-07-06,"23453 Yılmaz Crescent, Aslanport, IA 66641"
Gürelcem,Sezer,"Azure, JavaScript, HTML, Linux",Öcalan Zengin Ltd. Üniversitesi - Şahinci (2018-2025),Aselsan - Gelir uzmanı (2021-2025),akargunaydin@yahoo.com,0420-186 5365,https://linkedin.com/in/gürelcemsezer,https://github.com/gürelcemsezer,1989-05-17,"2104 Akçay Groves Apt. 848, Dumanlıhaven, PA 18080"
Şemsettin,Şensoy,"Django, Next.js, Docker",Aksu Seven Şti. Üniversitesi - Mumyalayıcı (2021-2024),Mansız Akçay Şti. - Danışman (2023-2025),sevenhasret@hotmail.com,855 5 998,https://linkedin.com/in/şemsettinşensoy,https://github.com/şemsettinşensoy,1993-12-05,"1763 Erdoğan Forge Apt. 240, Öcalanport, NY 38309"
Soykan,Akça,"Linux, Java, Python, CSS, Docker, Flutter",Durdu Duran Ltd. Üniversitesi - Kimya mühendisi (2016-2023),Yüksel Şti. - Sicil memuru (2022-2024),tcetin@hotmail.com,06505307815,https://linkedin.com/in/soykanakça,https://github.com/soykanakça,1985-10-23,"912 Gülen Lodge, Lake Selçuk, DC 98948"
Fatih,Şensoy,"SQL, Flask, Python, MongoDB, HTML, Next.js",Bilgin Ltd. Üniversitesi - Reklamcı (2017-2025),Mansız A.Ş. - Ambalajcı (2020-2025),bsensoy@yahoo.com,+90(836)579-4507x8534,https://linkedin.com/in/fatihşensoy,https://github.com/fatihşensoy,1988-10-23,"8858 Yazganalp Glens, Yükselhaven, WV 89521"
Hazine,Akar,"Python, MongoDB, MongoDB",Migros Üniversitesi - Paralı asker (2019-2025),Durmuş Zorlu A.Ş. - Kamyoncu (2018-2024),ihsanoglutenvir@yahoo.com,+90(516)1093743,https://linkedin.com/in/hazineakar,https://github.com/hazineakar,1998-10-10,"USS Yaman, FPO AA 95180"
Gülhisar,Şensoy,"ASP.NET, HTML, C#, SQL, JavaScript",ŞOK Marketler Üniversitesi - Emniyet genel müdürü (2017-2023),Petrol Ofisi - Opera sanatçısı (2021-2024),miray35@sisecam.biz,00568666370,https://linkedin.com/in/gülhisarşensoy,https://github.com/gülhisarşensoy,1998-03-21,"68021 Baturay Points, Şafiiberg, OR 91268"
Çakar,Çamurcuoğlu,"Azure, Next.js, Git",Şişecam Üniversitesi - Kalaycı (2018-2024),Çamurcuoğlu Türk A.Ş. - Dadı (2020-2025),ivecen81@gmail.com,0999-856 9713,https://linkedin.com/in/çakarçamurcuoğlu,https://github.com/çakarçamurcuoğlu,1991-04-10,"5833 Aytek Parkways Apt. 164, East Şeref, HI 20281"
Aydar,İnönü,"SQL, Java, Azure",Arslan Şti. Üniversitesi - Oyun hostesi (2021-2024),Akça Şama A.Ş. - Matkapçı (2022-2023),dhayrioglu@hotmail.com,03523559682,https://linkedin.com/in/aydari̇nönü,https://github.com/aydari̇nönü,1997-08-27,"12931 Zorlu Center Apt. 428, Fıratmouth, OR 25075"
Sadittin,Aslan,"HTML, Git, Linux, React, HTML, Git",Tofaş Üniversitesi - Gündelikçi (2021-2024),ŞOK Marketler - Müsteşar (2020-2023),ekaradeniz@akcay.com,0669-359 5317,https://linkedin.com/in/sadittinaslan,https://github.com/sadittinaslan,1985-10-19,"817 Aksu Trail Apt. 197, West Meşhurmouth, OH 53133"
Kiyasi,Durdu,"Docker, CSS, Next.js, JavaScript, C#, SQL",Fırat Şti. Üniversitesi - Ön muhasebe sorumlusu (2022-2024),Gül Ltd. - Jokey (2023-2023),yukseldenizalp@yorulmaz.net,(507)092 5179,https://linkedin.com/in/kiyasidurdu,https://github.com/kiyasidurdu,1987-01-27,"41604 Tanır Island Apt. 601, Fıratberg, VT 62489"
Türabi,Şama,"CSS, MongoDB, SQL, HTML, MongoDB, Kubernetes",Akça A.Ş. Üniversitesi - Polis şefi (2019-2024),Seven Yıldırım Ltd. - Biyomedikal Mühendisi (2023-2025),yildiz75@yuksel.com,(718)740 7060,https://linkedin.com/in/türabişama,https://github.com/türabişama,1992-09-07,"28331 Yorulmaz Forest, Lake Ekber, MD 08632"
Buşra,Zengin,"C#, Flask, Flask, JavaScript",Petrol Ofisi Üniversitesi - Mevsimlik işçi (2017-2025),Fırat Ltd. - Palyaço (2023-2023),gtevetoglu@hotmail.com,+90(156)5830639,https://linkedin.com/in/buşrazengin,https://github.com/buşrazengin,1991-08-29,"413 Çorlu Fords, West Hunalpton, KY 29471"
Meryeme,Aksu,"Node.js, SQL, HTML",Çorlu Sezer A.Ş. Üniversitesi - Tatlıcı (2015-2025),Petrol Ofisi - Desinatör (2022-2024),ersat97@gmail.com,03336404502,https://linkedin.com/in/meryemeaksu,https://github.com/meryemeaksu,1993-11-06,"5130 Sakarya Views Apt. 706, Feyzinville, OH 97035"
Adlan,Sakarya,"HTML, MongoDB, ASP.NET",Hançer Şti. Üniversitesi - Levazımcı (2015-2025),Çetin Arslan A.Ş. - Temsilci (2019-2024),jaslan@sama.info,343 2 078,https://linkedin.com/in/adlansakarya,https://github.com/adlansakarya,2002-03-15,"96667 Yaman Gateway Apt. 876, Şafakview, OK 44647"
Tanyolaç,İhsanoğlu,"Docker, Azure, JavaScript, MongoDB, CSS, SQL",Bilge A.Ş. Üniversitesi - Bankacı (2015-2024),Türk A.Ş. - Fermantasyon işçisi (2020-2024),oergul@erdogan.com,+90 (044) 2564056,https://linkedin.com/in/tanyolaçi̇hsanoğlu,https://github.com/tanyolaçi̇hsanoğlu,1999-07-08,"215 Durmuş Skyway Suite 538, New Gülevbury, AZ 17780"
Bektaşi,Arsoy,"Node.js, Next.js, Python",Ergül Şener Şti. Üniversitesi - Bombacı (2017-2024),Dumanlı Yılmaz Ltd. - Oduncu (2020-2025),samaogurata@ergul.org,+90(841)590-0410x4818,https://linkedin.com/in/bektaşiarsoy,https://github.com/bektaşiarsoy,2003-02-23,"88777 Karcan Roads Suite 681, Baymanchester, FL 57234"
Efe,Karadeniz,"JavaScript, Docker, Docker, C#, Linux, Kubernetes",Zorlu Zorlu Şti. Üniversitesi - Çevik Kuvvet (2015-2024),Sakarya Durmuş Şti. - Genetik mühendisi (2018-2023),ryilmaz@yahoo.com,+90(220)698-4701x0011,https://linkedin.com/in/efekaradeniz,https://github.com/efekaradeniz,1999-05-04,"1169 Yorulmaz Harbor Apt. 356, West Sözer, VT 28419"
Abdulsemet,Demirel,"Next.js, Python, Next.js, ASP.NET",Ertaş Ltd. Üniversitesi - Fıçıcı (2016-2024),Bilgin A.Ş. - Kuşbilimci (2020-2023),narslan@eraslan.org,693 1 634,https://linkedin.com/in/abdulsemetdemirel,https://github.com/abdulsemetdemirel,1997-11-30,"61636 Hayrioğlu Court, East Dorukhanview, NY 02120"
Haluk,Şener,"Flask, Docker, Java, CSS",Öcalan Demirel Şti. Üniversitesi - Müsteşar (2016-2024),Karadeniz A.Ş. - Mürebbiye (2018-2025),pembesinakca@gmail.com,+90(442)298-1477x5152,https://linkedin.com/in/halukşener,https://github.com/halukşener,1990-07-31,"0909 Zengin Club Apt. 803, Büreyreshire, IN 53625"
Teknaz,Yılmaz,"Docker, HTML, MongoDB, Flask, Java, C#",Akça A.Ş. Üniversitesi - Benzinci (2015-2023),Arslan Yılmaz Şti. - Vali (2018-2023),sefiyearslan@gmail.com,0950 497 90 52,https://linkedin.com/in/teknazyılmaz,https://github.com/teknazyılmaz,1985-06-24,"25054 Çakırca Grove, North Önsalberg, NH 47554"
Niğmet,Sezer,"C#, Kubernetes, MongoDB",Aksu A.Ş. Üniversitesi - Kadın terzisi (2020-2023),Akça A.Ş. - Tarım işçisi (2020-2023),heva48@demirel.com,+90(869)712-2768x9393,https://linkedin.com/in/niğmetsezer,https://github.com/niğmetsezer,1985-02-17,"514 Çetin Shoal Suite 322, Lake Sezenborough, PA 20247"
Tandoğdu,Zorlu,"ASP.NET, Linux, Flask",Gül Dumanlı Şti. Üniversitesi - Meyhaneci (2019-2023),Yaman A.Ş. - Çevre mühendisi (2022-2023),duhadumanli@bim.com,05100864962,https://linkedin.com/in/tandoğduzorlu,https://github.com/tandoğduzorlu,1997-08-28,"907 Tarhan Harbor, Seyfullahside, NM 57884"
Feyzin,Bilir,"Next.js, Python, Git, React, Flutter, Flask",ŞOK Marketler Üniversitesi - Çiçekçi (2018-2023),Yılmaz Ltd. - Sigortacı (2021-2023),ozgurtevetoglu@gmail.com,0157-377 0103,https://linkedin.com/in/feyzinbilir,https://github.com/feyzinbilir,1997-06-11,"32617 Ergül Stravenue, Uluğbeytown, AR 34237"
Arifcan,Akgündüz,"Docker, Django, JavaScript, Next.js, Flutter, Docker",Sezer Akçay A.Ş. Üniversitesi - Yazı işleri müdürü (2022-2024),Sezgin Yıldırım A.Ş. - Orgeneral (2018-2023),ukisakurek@gmail.com,0843-231 4574,https://linkedin.com/in/arifcanakgündüz,https://github.com/arifcanakgündüz,1987-12-20,"639 Yosma Loaf Apt. 197, Port Aksöğütville, MS 81980"
Özbay,Yıldırım,"Node.js, Azure, Django, Python, SQL",Duran Hançer Ltd. Üniversitesi - Gözlükçü (2018-2024),Sezgin Yıldırım A.Ş. - Celep (2020-2024),isensoy@karadeniz.info,(815)839 6128,https://linkedin.com/in/özbayyıldırım,https://github.com/özbayyıldırım,1987-09-16,"184 Eraslan Turnpike, Duranmouth, AZ 46579"
İmam,Çorlu,"ASP.NET, Git, Git, C#",Akçay Durmuş Şti. Üniversitesi - Ornitolog (2022-2025),Türk Telekom - Madenci (2019-2025),sbilir@durdu.info,+90(874)8703442,https://linkedin.com/in/i̇mamçorlu,https://github.com/i̇mamçorlu,2001-04-20,"318 Mücellib Field, Karadenizchester, TN 81074"
Nasuf,Güçlü,"CSS, CSS, Azure, Docker",Roketsan Üniversitesi - Muhafız (2021-2025),Fırat Şti. - İnşaatçı (2023-2023),ferhanfirat@sezer.com,+90(167)977-3795x1948,https://linkedin.com/in/nasufgüçlü,https://github.com/nasufgüçlü,2001-10-16,"3547 Mihriye River Apt. 565, Gülayview, MO 80238"
Aynilhayat,Kısakürek,"Python, Azure, Git, Git, Next.js, MongoDB",Aselsan Üniversitesi - Ocakçı (2021-2023),Selçuk Ecza - Camcı (2019-2025),udemirel@zorlu.com,+90(577)241-9044x7185,https://linkedin.com/in/aynilhayatkısakürek,https://github.com/aynilhayatkısakürek,1993-02-23,"9750 Demirel Center, North Erdogan, HI 69802"
Sadat,Zorlu,"ASP.NET, Linux, JavaScript, Python, Docker",Akçay Öcalan A.Ş. Üniversitesi - Ayakkabı tamircisi (2016-2025),Bilir Akgündüz A.Ş. - Laborant (2023-2025),aslanhanyorulmaz@zengin.com,+90 (981) 8720583,https://linkedin.com/in/sadatzorlu,https://github.com/sadatzorlu,1987-11-10,"6351 Evrim Station Suite 678, Tunçkılıçbury, ME 23915"
Tiğin,Çetin,"Azure, Kubernetes, C#",Selçuk Ecza Üniversitesi - Kapı satıcısı (2017-2023),ŞOK Marketler - Sosyal hizmet uzmanı (2020-2024),bilgeyagizkurt@hotmail.com,0567-158 7099,https://linkedin.com/in/tiğinçetin,https://github.com/tiğinçetin,1991-08-09,"89014 Nas Locks Apt. 908, Borahanhaven, IN 94413"
Canberk,Yüksel,"CSS, Node.js, C#, Python",Hayrioğlu Durdu A.Ş. Üniversitesi - Oto yedek parçacı (2022-2025),Akdeniz Akgündüz A.Ş. - Çevik Kuvvet (2019-2025),bilgintan@hancer.info,+90 (570) 3921436,https://linkedin.com/in/canberkyüksel,https://github.com/canberkyüksel,2001-08-30,"8580 Tevetoğlu Divide, North Dinçsü, MT 73951"
Şendoğan,Demirel,"JavaScript, ASP.NET, JavaScript, Docker",Ülker Sezer Ltd. Üniversitesi - Terapist (2015-2025),Sezgin Zengin Şti. - Astsubay (2019-2023),emirsanseven@turk.com,+90(886)0342591,https://linkedin.com/in/şendoğandemirel,https://github.com/şendoğandemirel,1997-05-25,"1238 Arsoy Fields, Lake Mazlum, DC 56942"
Altınışın,Yüksel,"Linux, Python, Flutter, Java, React",Şener Hayrioğlu Şti. Üniversitesi - Film yapımcısı (2017-2025),Roketsan - Karpuzcu (2020-2023),bilgeervaniye@yorulmaz.info,+90(099)457-0821x668,https://linkedin.com/in/altınışınyüksel,https://github.com/altınışınyüksel,1995-12-27,"6183 Bilge Lane Suite 266, New Mehdiyeport, OH 77325"
Nurmelek,Ertaş,"Docker, React, JavaScript",Şama Sezer Şti. Üniversitesi - Kameraman (2020-2023),Eraslan Gül Şti. - Yorumcu (2021-2023),wcorlu@durdu.com,+90(937)495-9142x8022,https://linkedin.com/in/nurmelekertaş,https://github.com/nurmelekertaş,1994-12-01,"427 İzgü Crest, Bitülchester, NJ 31269"
Verim,Fırat,"Node.js, JavaScript, React, Flutter, Next.js",Arslan Şti. Üniversitesi - Demiryolu işçisi (2015-2024),Güçlü Şti. - Kasiyer (2022-2025),dilsatakar@hotmail.com,0011 260 85 90,https://linkedin.com/in/verimfırat,https://github.com/verimfırat,1985-10-29,"PSC 2258, Box 1380, APO AA 09584"
İlbek,Çetin,"Java, React, Git, Flutter, HTML",Durmuş Şti. Üniversitesi - Striptizci (2015-2023),ŞOK Marketler - Modelist (2020-2025),jsezer@demir.org,+90 (794) 3892055,https://linkedin.com/in/i̇lbekçetin,https://github.com/i̇lbekçetin,1989-02-18,"4364 Nihai Ways Apt. 611, East Ekmel, UT 92679"
Almast,Bilgin,"Django, Django, Django",Bilge Durdu A.Ş. Üniversitesi - Masöz (2016-2025),Türk A.Ş. - Kadın berberi (2019-2025),gulnaziye60@yahoo.com,06263320970,https://linkedin.com/in/almastbilgin,https://github.com/almastbilgin,1991-08-10,"74589 Abid Stream Suite 859, Bilginborough, NH 52274"
Yıldız,Sakarya,"JavaScript, Linux, Docker, Java",Demirel A.Ş. Üniversitesi - Apartman yöneticisi (2017-2025),Türk Hava Yolları - Piyango satıcısı (2018-2025),cannur30@demirel.net,269 7 494,https://linkedin.com/in/yıldızsakarya,https://github.com/yıldızsakarya,1984-11-29,"50805 Süheyda Cliff, Muhipland, VT 34567"
İdiris,Tarhan,"Flutter, Flask, HTML, HTML, Node.js",Yıldırım Şti. Üniversitesi - Ütücü (2019-2023),Bilir Sezgin Ltd. - Uydu antenci (2022-2024),eraycan66@yahoo.com,08658422986,https://linkedin.com/in/i̇diristarhan,https://github.com/i̇diristarhan,2004-10-29,"7105 Cedide Manor Suite 345, South Gülsiyeton, NV 65872"
Satıa,Mansız,"C#, Git, Kubernetes, Kubernetes",Toyota Otomotiv Üniversitesi - Arabulucu (2016-2025),Toyota Otomotiv - Rehber (2020-2023),aksuhekime@petkim.biz,0195 255 34 57,https://linkedin.com/in/satıamansız,https://github.com/satıamansız,2004-10-25,"Unit 6923 Box 8408, DPO AE 25713"
Akboğa,Arsoy,"Flutter, HTML, ASP.NET, MongoDB",Arslan Ltd. Üniversitesi - Soğuk demirci (2015-2025),Anadolu Efes - Göz doktoru (2020-2024),kefser18@ihsanoglu.net,(338)645 2349,https://linkedin.com/in/akboğaarsoy,https://github.com/akboğaarsoy,1993-04-13,"USNV Gül, FPO AP 78599"
Erten,Yıldırım,"Docker, Git, Next.js, Node.js",Tevetoğlu Dumanlı A.Ş. Üniversitesi - Şarkı sözü yazarı (2016-2024),Çamurcuoğlu Şensoy A.Ş. - Asker (2023-2025),adurmus@sezer.com,+90(567)968-2669x1556,https://linkedin.com/in/ertenyıldırım,https://github.com/ertenyıldırım,1997-06-24,"70118 Telim Throughway, Sedifetown, NC 77824"
Hiçsönmez,Akar,"Django, Azure, JavaScript",Bilir Bilge Ltd. Üniversitesi - Acil durum yönetmeni (2022-2024),Hayrioğlu Dumanlı A.Ş. - Oymacı (2023-2025),ugul@ergul.com,0617-003 5638,https://linkedin.com/in/hiçsönmezakar,https://github.com/hiçsönmezakar,1993-02-12,"16009 Çorlu Drive, New Yalgın, AL 34311"
Paker,Hançer,"HTML, Kubernetes, ASP.NET, Kubernetes",Hayrioğlu Ltd. Üniversitesi - Tarihçi (2015-2023),Bilir Şener A.Ş. - Aktris (2021-2024),ilperihsanoglu@hotmail.com,+90(234)137-1453x567,https://linkedin.com/in/pakerhançer,https://github.com/pakerhançer,2003-04-09,"7862 Alemdar Trail, Tarhanburgh, VT 88504"
Şirivan,Alemdar,"React, CSS, React",Vestel Üniversitesi - Tuğgeneral (2017-2025),Arslan Akçay Şti. - Diş hekimi (2019-2024),gunaydinakca@aksu.info,(571)275 6461,https://linkedin.com/in/şirivanalemdar,https://github.com/şirivanalemdar,1995-08-11,"3870 Dilcan Shoals, East Aysema, TX 70204"
Dirlik,Tarhan,"C#, C#, ASP.NET, JavaScript, HTML",Zengin Ltd. Üniversitesi - Masör (2021-2024),Akgündüz Ltd. - Yeminli mali müşavir (2019-2024),yildirimummahan@bilgin.org,0627 136 66 96,https://linkedin.com/in/dirliktarhan,https://github.com/dirliktarhan,1999-05-07,"PSC 8409, Box 0845, APO AE 00801"
Damlanur,Gülen,"CSS, Flutter, Node.js, Docker, SQL",Zorlu Şama Ltd. Üniversitesi - Sigortacı (2018-2023),ŞOK Marketler - Dilenci (2021-2024),karadeniztogan@enerjisa.com,+90(599)287-1780x5400,https://linkedin.com/in/damlanurgülen,https://github.com/damlanurgülen,1995-10-01,"51891 Eröz Plaza Suite 432, Lake Egenurfurt, FL 40610"
Koldan,Demir,"JavaScript, Flutter, Kubernetes, CSS, ASP.NET",Tofaş Üniversitesi - Aile hekimi (2022-2023),Şama Çetin Şti. - Başkomiser (2019-2025),ercihanakgunduz@yahoo.com,(528)258 6915,https://linkedin.com/in/koldandemir,https://github.com/koldandemir,1999-11-27,"965 Gülnaziye Green Apt. 853, Bilginfurt, ND 40850"
Feraye,Akdeniz,"Python, Flask, JavaScript, SQL",Hançer Ltd. Üniversitesi - Rektör (2022-2025),Durmuş Akçay Şti. - Dalgıç (2018-2024),akay85@yahoo.com,(589)122 1665,https://linkedin.com/in/ferayeakdeniz,https://github.com/ferayeakdeniz,1999-05-18,"037 Kürşad Junction Apt. 281, South Fatmanurton, HI 02527"
Solma,Aslan,"React, MongoDB, Node.js, Kubernetes, Linux, ASP.NET",Yorulmaz Seven Şti. Üniversitesi - İnşaatçı (2018-2025),Demir Şener Ltd. - Aşçı (2020-2024),psama@hotmail.com,+90(584)5238422,https://linkedin.com/in/solmaaslan,https://github.com/solmaaslan,1995-08-12,"64157 Seven Cove, West Remazanfort, ND 48250"
Sarpkın,Soylu,"Flask, CSS, Django, Next.js, JavaScript",Migros Üniversitesi - Elektrik-Elektronik mühendisi (2020-2023),Tevetoğlu Eraslan Şti. - Armatör (2023-2025),yonetmenarsoy@gmail.com,448 5 945,https://linkedin.com/in/sarpkınsoylu,https://github.com/sarpkınsoylu,1986-07-14,"3807 Arsoy Field Suite 125, Nurbanutown, SD 91915"
Muhammet,Eraslan,"Kubernetes, Node.js, MongoDB, Docker, Flask",Ergül Şti. Üniversitesi - Masör (2020-2024),Yorulmaz A.Ş. - Öğretim elemanı (2021-2025),habibe59@toyota.biz,546 7 688,https://linkedin.com/in/muhammeteraslan,https://github.com/muhammeteraslan,2001-07-07,"149 Durmuş Gardens Suite 528, Karadenizland, WV 82741"
Ünsever,Tarhan,"Flask, Next.js, Node.js, Java, MongoDB",Limak İnşaat Üniversitesi - İnsan kaynakları uzmanı (2016-2023),Türk Hançer Ltd. - Subay (2020-2023),meyhanim48@gmail.com,+90(121)968-1523x5205,https://linkedin.com/in/ünsevertarhan,https://github.com/ünsevertarhan,1999-01-14,"7761 Bilge Cape, Lake Yetişalton, OK 36278"
Serda,Şafak,"Java, CSS, Python, ASP.NET, Flutter",Güçlü Şama A.Ş. Üniversitesi - Çilingir (2016-2025),İnönü Ergül Şti. - İllüzyonist (2019-2023),merbadurmus@anadolu.com,(578)542 6124,https://linkedin.com/in/serdaşafak,https://github.com/serdaşafak,1989-09-28,"634 Özge Common, Akifbury, MT 98957"
Nafii,Ertaş,"SQL, React, Docker, Next.js, Node.js",Yorulmaz Gülen Ltd. Üniversitesi - Bobinajcı (2016-2024),ŞOK Marketler - Hostes (2019-2023),uhancer@gmail.com,0724 025 29 15,https://linkedin.com/in/nafiiertaş,https://github.com/nafiiertaş,2004-12-21,"01545 Cemalettin Plaza, Amaçmouth, TN 35456"
Şahıgül,Yılmaz,"SQL, Flask, Kubernetes, CSS, Flutter",A101 Yeni Mağzacılık Üniversitesi - Biyolog (2015-2025),Akgündüz Yorulmaz A.Ş. - Pansumancı (2018-2024),hansultan33@sezer.com,+90(246)298-5071x8047,https://linkedin.com/in/şahıgülyılmaz,https://github.com/şahıgülyılmaz,1988-09-11,"26400 Akgündüz Common Apt. 951, Eraslanborough, WI 88751"
Feyha,Tarhan,"Python, Azure, JavaScript, Java",BİM Üniversitesi - Karpuzcu (2018-2025),Akgündüz Korutürk Ltd. - Radyolog (2021-2025),cumanzengin@gmail.com,+90(109)0344802,https://linkedin.com/in/feyhatarhan,https://github.com/feyhatarhan,2001-03-28,"3430 Yıldırım Locks Apt. 689, Bilginstad, AZ 21752"
Toğan,Fırat,"Java, Django, Python, Flask, Linux, HTML",ŞOK Marketler Üniversitesi - Borsacı (2018-2023),Seven Zengin Şti. - Embriyolog (2023-2023),odumanli@hotmail.com,0790 912 63 28,https://linkedin.com/in/toğanfırat,https://github.com/toğanfırat,1990-01-11,"668 Bilge Stream Apt. 023, Çetinborough, NV 91610"
Seracettin,Aslan,"Java, MongoDB, Java, CSS",Ülker Manço Ltd. Üniversitesi - Yatırım uzmanı (2022-2023),Ford Otosan - İcra memuru (2019-2024),cetinilgi@gmail.com,+90(169)861-2476x3306,https://linkedin.com/in/seracettinaslan,https://github.com/seracettinaslan,1990-09-15,"538 Gökay Route Suite 669, Hamibury, MO 68025"
